,Country,EdLevel,YearsCodePro,Salary
1340,17,1,3.0,200000.0
1342,16,3,25.0,124383.0
1343,5,2,4.0,37116.0
1345,9,0,3.0,17880.0
1346,9,2,6.0,37325.0
1347,17,0,4.0,400000.0
1349,5,0,6.0,63986.0
1350,9,1,3.0,21528.0
1354,17,2,16.0,185000.0
1355,9,0,2.0,33600.0
1356,9,0,4.0,65053.0
1358,13,2,15.0,63384.0
1359,6,2,5.0,11208.0
1361,17,1,1.0,65000.0
1362,4,2,4.0,38388.0
1363,6,2,1.0,60000.0
1364,17,0,12.0,250000.0
1365,17,0,2.0,145000.0
1366,9,2,5.0,87113.0
1367,6,0,4.0,137355.0
1368,17,0,12.0,180000.0
1369,17,2,12.0,113000.0
1370,3,0,13.0,101509.0
1373,9,2,1.0,66371.0
1374,13,1,6.0,60948.0
1378,3,0,4.0,52316.0
1380,17,0,5.0,185000.0
1383,17,0,3.0,110000.0
1385,9,2,10.0,74651.0
1386,9,2,1.0,57038.0
1387,5,0,3.0,80623.0
1388,9,0,7.0,31993.0
1390,9,0,2.0,30000.0
1393,17,2,9.0,500000.0
1394,17,0,5.0,110000.0
1395,9,0,4.0,44796.0
1396,9,2,18.0,33408.0
1398,3,3,3.0,78084.0
1400,10,1,1.0,23592.0
1402,9,0,15.0,27288.0
1403,17,0,15.0,100000.0
1404,0,1,5.0,99080.0
1405,5,0,2.0,67186.0
1406,4,2,3.0,49056.0
1407,17,0,3.0,100000.0
1408,17,0,1.0,104750.0
1410,5,2,5.0,63986.0
1413,14,2,5.0,99288.0
1414,9,0,10.0,48000.0
1416,13,0,3.0,54852.0
1417,17,0,18.0,620000.0
1418,17,2,14.0,140000.0
1420,13,0,10.0,61056.0
1424,16,2,0.5,376918.0
1426,6,0,0.5,10318.0
1428,9,2,3.0,82964.0
1430,9,0,4.0,57588.0
1436,9,2,7.0,91200.0
1437,4,2,18.0,76783.0
1438,17,0,7.0,100000.0
1439,7,1,4.0,31992.0
1440,9,1,11.0,99816.0
1441,4,2,10.0,319931.0
1443,17,1,6.0,125000.0
1446,17,0,6.0,160000.0
1447,9,0,4.0,31620.0
1448,4,2,8.0,66119.0
1449,17,0,5.0,123141.0
1450,16,1,7.0,81666.0
1454,13,2,7.0,60948.0
1456,17,0,4.0,70000.0
1460,9,0,2.0,25104.0
1461,17,1,18.0,170000.0
1464,3,0,4.0,71681.0
1467,5,2,2.0,66119.0
1469,17,0,0.5,80000.0
1470,5,3,12.0,31992.0
1471,6,0,4.0,38692.0
1473,4,2,1.0,42657.0
1474,10,0,6.0,27750.0
1475,5,0,10.0,767832.0
1476,5,0,9.0,115176.0
1477,9,0,14.0,485000.0
1480,10,1,5.0,33300.0
1481,17,2,4.0,102000.0
1482,17,0,8.0,400000.0
1484,17,3,4.0,110000.0
1485,17,0,7.0,260.0
1486,17,0,9.0,115000.0
1488,2,2,5.0,14952.0
1491,17,1,11.0,83000.0
1493,13,1,2.0,43884.0
1496,4,2,10.0,164000.0
1497,17,0,4.0,128000.0
1501,17,1,23.0,165000.0
1508,14,3,15.0,198564.0
1509,4,3,0.5,20220.0
1511,9,1,15.0,159966.0
1512,9,2,10.0,62520.0
1513,17,0,12.0,222000.0
1514,17,2,15.0,350000.0
1517,17,0,3.0,90000.0
1519,9,0,15.0,114000.0
1520,8,1,13.0,946992.0
1521,16,2,12.0,119357.0
